{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 5,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 1.9248| Acc: 0.1571| Train Time: 0.5550s
Train: 0.8357| Val: 0.5260| Test: 0.5100| Eval Time: 3.8687s
Epoch 02| Loss: 1.4863| Acc: 0.6857| Train Time: 0.8465s
Train: 0.9571| Val: 0.6560| Test: 0.6560| Eval Time: 0.0760s
Epoch 03| Loss: 1.1207| Acc: 0.8286| Train Time: 0.8397s
Train: 0.9786| Val: 0.7060| Test: 0.7170| Eval Time: 0.0730s
Epoch 04| Loss: 0.8595| Acc: 0.9286| Train Time: 0.0150s
Train: 0.9929| Val: 0.7340| Test: 0.7480| Eval Time: 0.0950s
Epoch 05| Loss: 0.6870| Acc: 0.9429| Train Time: 0.0160s
Train: 0.9929| Val: 0.7400| Test: 0.7620| Eval Time: 0.0930s
Epoch 06| Loss: 0.5357| Acc: 0.9571| Train Time: 0.0136s
Train: 0.9929| Val: 0.7560| Test: 0.7720| Eval Time: 0.0900s
Epoch 07| Loss: 0.4656| Acc: 0.9786| Train Time: 0.0110s
Train: 1.0000| Val: 0.7540| Test: 0.7840| Eval Time: 0.0846s
Epoch 08| Loss: 0.3762| Acc: 0.9643| Train Time: 0.0160s
Train: 1.0000| Val: 0.7520| Test: 0.7800| Eval Time: 0.0980s
Epoch 09| Loss: 0.2516| Acc: 0.9929| Train Time: 0.0140s
